id,name,portion_size,protein_g,green_carbs_g,net_carbs_g,mixed_fat_g,pure_fats_g,fiber_g,gi,gl,calories,recommendation_type
food_0001,Green Juice (without fibre),1 glass - 250 ml,0.1,1.0,0.5,0.0,0.4,0.0,15.0,0.08,10.0,R
food_0002,Green Juice (with fibre),1 glass - 250 ml,0.2,2.0,0.5,0.0,0.15,3.0,15.0,0.16,18.0,R
food_0003,Petha (ash gourd) Juice,1 glass - 250 ml,0.7,3.5,0.0,0.0,0.2,5.0,21.0,0.0,18.0,R
food_0004,Petha (ash gourd),100 g - Raw,0.4,3.0,0.0,0.0,0.0,2.9,0.0,0.0,13.0,R
food_0005,Green Juice with fruit,1 glass - 250 ml,0.8,3.0,5.0,0.0,2.0,4.3,40.0,2.0,40.0,OR
food_0006,"Vegetable Salad (Cucumber, Radish, Carrot, Lettuce, Bok Choy, etc.)",1 katori - 80 g,1.4,3.3,1.9,0.0,2.1,1.4,15.0,0.2,30.0,R
food_0007,Vegetables - measured raw,100 g,2.9,8.6,4.0,0.0,1.0,4.4,15.0,0.6,60.0,R
food_0008,Vegetables- Sauteed /stir fried,1 small plate - 150 g,4.93,14.62,6.8,0.0,9.0,7.48,21.0,1.428,190.0,R
food_0009,Vegetables - Steamed/boiled,1 small plate - 150 g,4.64,13.76,6.4,0.0,1.6,7.04,21.0,1.344,116.0,R
food_0010,Vegetables - Roasted,1 small plate - 150 g,5.8,17.2,8.0,0.0,5.0,8.8,21.0,1.68,172.0,R
food_0011,Fermented Vegetables / Sauerkraut,30 g,2.2,5.7,2.2,0.0,0.1,3.5,0.0,0.0,8.0,R
food_0012,Vegetable Clear Soup,1 katori - 150 ml,0.9,2.1,1.4,0.0,0.2,0.7,15.0,0.2,20.0,R
food_0013,"Vegetable Cream Soup, with milk",1 katori - 150 ml,2.7,1.4,3.2,0.0,2.7,1.4,27.0,0.9,95.0,R
food_0014,"Vegetable Cream Soup, with cheese",1 katori - 150 ml,2.7,4.6,0.0,0.0,2.7,1.4,15.0,0.4,95.0,R
food_0015,Vegetable thick Soup,1 katori - 150 ml,1.4,3.0,0.0,0.0,0.3,1.0,15.0,0.3,30.0,R
food_0016,Spinach/leafy green Soup,1 katori - 150 ml,0.8,5.9,0.0,0.0,0.6,1.0,15.0,0.65,31.0,R
food_0017,Pumpkin Soup,1 katori - 150 ml,2.3,0.0,5.5,2.7,0.0,0.6,52.0,2.3,57.0,OR
food_0018,Wheat roti /Chapati,1 Roti - 35 g,2.0,0.0,17.0,0.0,0.0,2.0,67.0,12.0,85.0,OR
food_0019,Makki/Corn  Roti/Chapati,1 Roti - 50 g,1.6,0.0,17.4,0.0,0.0,1.8,52.0,8.0,112.0,OR
food_0020,Mix Grain Roti/Chapati,1 Roti - 35 g,3.1,0.0,15.9,0.7,0.0,3.0,60.0,9.0,82.0,OR
food_0021,Missi Roti/Chapati,1 Roti - 55 g,3.6,0.0,13.2,6.4,0.0,2.6,69.0,9.2,133.0,MR
food_0022,Sandwich (mayo and veggies),1 sandwich,12.0,0.0,26.2,11.0,0.0,1.5,81.0,21.0,257.0,NR
food_0023,Thepla,1 thepla - 40 g,3.0,0.0,16.6,5.4,0.0,2.1,48.0,7.6,126.0,OR
food_0024,Spinach thepla,1 thepla - 40 g,3.0,0.0,14.2,4.4,0.0,2.3,45.0,6.39,108.0,OR
food_0025,Naan,1 Piece - approx 50 g,3.7,0.0,22.9,4.6,0.0,1.3,85.0,18.0,149.0,NR
food_0026,Dal Roti/Chapati  (GL not accurate),1 Piece - approx 40 g,3.8,0.0,19.7,0.7,0.0,3.1,50.0,8.0,100.0,OR
food_0027,Plain Parantha,1 Parantha - 50 g,4.2,0.0,23.9,4.2,0.0,3.7,77.0,15.0,140.0,NR
food_0028,Methi Parantha,1 Parantha - 60 g,4.3,0.0,22.5,5.1,0.0,4.0,73.0,14.24,153.0,NR
food_0029,Gobi/Cauflower Parantha,Parantha - 80 g,4.1,0.0,20.9,6.1,0.0,4.0,74.0,12.51,154.0,NR
food_0030,Mooli /Muli Parantha,1 Parantha - 80 g,3.9,0.0,21.8,6.0,0.0,3.8,75.0,14.1,156.0,NR
food_0031,Aaloo /Alu Parantha,1 Parantha - 100 g,4.8,0.0,32.1,6.3,0.0,4.5,76.0,19.8,203.0,NR
food_0032,Paneer Parantha,1 parantha - 80 g,10.1,0.0,15.9,13.7,0.0,2.4,78.0,11.0,226.0,NR
food_0033,Vegetable Parantha,1 parantha - 80 g,3.6,0.0,17.9,5.4,0.0,3.7,71.0,10.9,148.0,NR
food_0034,Chicken Roll / Chicken keema roll,1 roll - 140 g,16.2,0.0,28.1,10.3,0.0,1.8,81.0,20.1,266.0,NR
food_0035,Poori / Puri,1 regular - 50 g,4.0,0.0,23.1,6.6,0.0,3.6,82.0,16.0,167.0,NR
food_0036,Matthi / Mathiya,1 Piece - 25 g,1.5,0.0,11.1,4.5,0.0,1.8,84.0,7.5,90.0,NR
food_0037,Namak Para / Pare,1 para - 5 g,0.3,0.0,2.3,1.3,0.0,0.1,84.0,1.76,22.0,NR
food_0038,Puran Poli,1 medium poli - 75 g,4.0,0.0,28.2,4.9,0.0,3.1,75.0,18.8,172.0,OR
food_0039,Bhatura / Batura,1 Piece - 100 g,5.6,0.0,32.9,16.8,0.0,1.2,85.0,27.0,307.0,NR
food_0040,Rice (bowl),1 Katori - 120 g cooked,2.6,0.0,26.7,0.4,0.0,0.5,73.0,22.0,120.0,OR
food_0041,Rice (spoon),1 teaspoon - 20 g cooked,0.4,0.0,4.3,0.1,0.0,0.1,73.0,4.0,19.0,OR
food_0042,Rice (g),50 g cooked,1.1,0.0,10.8,0.2,0.0,0.2,73.0,9.0,49.0,OR
food_0043,Rice (raw),100 gm raw,6.7,0.0,82.0,0.5,0.0,0.0,72.0,59.04,356.0,OR
food_0044,Vegetable Biryani / Vegetable Pulao,1 katori - 124 g,2.5,0.0,20.3,5.6,0.0,1.5,65.0,12.35,142.0,OR
food_0045,Moong dal / green gram cooked,1 katori - 150 g,9.1,0.0,22.9,1.3,0.0,3.3,30.0,5.4,138.0,MR
food_0046,Brown Rice (bowl),1 Katori - 120g cooked,2.4,0.0,22.8,0.9,0.0,1.0,68.0,17.0,109.0,OR
food_0047,Brown Rice (spoon),1 teaspoon - 20 g cooked,0.4,0.0,3.7,0.1,0.0,0.2,68.0,3.0,18.0,OR
food_0048,Brown Rice (g),50 g cooked,1.0,0.0,9.2,0.4,0.0,0.4,68.0,7.0,44.0,OR
food_0049,Bajra / Millet Khichadi,1 Katori - 100 g,3.0,0.0,10.8,3.1,0.0,1.7,57.0,6.0,83.0,OR
food_0050,Bhel Puri,1 Katori - 45 g,2.4,0.0,11.4,4.2,0.0,1.3,61.0,6.1,92.0,NR
food_0051,Murmura / Puffed Rice (bowl),1 katori - 10 g,0.7,0.0,6.6,0.0,0.0,0.2,73.0,4.5,29.0,NR
food_0052,Dal Paani,250 ml,2.0,0.0,9.8,0.0,1.2,1.4,37.0,2.2,57.0,R
food_0053,Black chana water,250 ml,0.9,0.0,3.1,0.0,0.3,1.2,32.0,0.32,19.0,R
food_0054,"Dal Khichadi (dal + veg, no rice)",1 Katori - 100 g,4.2,1.0,7.7,0.3,3.5,3.2,15.0,2.2,97.4,MR
food_0055,Bread - white,1 Slice - approx 20 g,1.7,0.0,11.4,0.4,0.0,0.5,90.0,10.26,54.0,NR
food_0056,Bread - multigrain,1 Slice - approx 20 g,1.9,0.0,8.0,0.4,0.0,1.3,70.0,5.6,45.0,NR
food_0057,"Sooji, Rawa",100 g raw,12.0,0.0,69.8,1.5,0.0,1.2,66.0,46.068,345.0,NR
food_0058,Besan / Gram flour,10 g,2.2,0.0,5.8,0.7,0.0,1.1,10.0,0.58,39.0,R
food_0059,Sattu (Chana),10 g,2.2,0.0,5.8,0.7,0.0,1.1,28.0,1.3,39.0,R
food_0060,Stuffed vegetable Roti,1 Piece - approx 50 g,3.2,0.0,17.7,0.5,0.0,2.9,65.0,10.0,87.0,OR
food_0061,Bajra / Millet,Raw 10 g,1.1,0.0,6.1,0.5,0.0,1.1,57.0,3.1,36.0,OR
food_0062,Foxtail Millet,Raw 10 g,1.23,0.0,6.0,0.43,0.0,0.98,54.0,3.2,35.0,OR
food_0063,Amaranth aata roti,1 roti (40 g),5.8,0.0,22.0,2.28,0.0,2.8,97.0,18.0,148.0,OR
food_0064,Amaranth/rajgira,100 gm (dry weight),13.6,0.0,58.5,0.7,0.0,6.7,107.0,62.595,371.0,OR
food_0065,Idli,1 Piece - 50 g,2.5,0.0,15.1,0.9,0.0,1.1,69.0,11.0,78.0,OR
